celltype.l1,celltype.l2,UMAP1,UMAP2
Mono/DC,CD14 Mono,5.648027088,4.25523682
Mono/DC,cDC2,7.604892875,4.462946609
T cell,CD4 Naive,-6.058265065,4.572989658
T cell,CD4 Memory,-3.645973299,5.755737022
Progenitor cells,GMP,7.100961353,1.42779167
Mono/DC,CD14 Mono,5.95942321,5.882771209
T cell,CD4 Naive,-8.060907696,5.990161613
B cell,Naive B,2.599668409,-10.52891617
NK,NK,1.115274455,-4.664657399
Mono/DC,CD14 Mono,8.622240688,4.259407714
T cell,CD8 Naive,-4.309373234,-4.851869389
T cell,CD4 Memory,-4.064900254,6.734712795
T cell,CD4 Memory,-1.782359813,6.337731078
Mono/DC,CD14 Mono,7.84690776,4.004878238
T cell,CD4 Memory,-3.975612973,6.694177345
T cell,CD4 Naive,-6.426639889,5.330859855
B cell,Memory B,0.752289023,-9.574298665
T cell,CD4 Naive,-7.557532166,5.818095401
Progenitor cells,Prog_RBC,4.637674476,-0.876562044
T cell,CD4 Naive,-8.415303562,5.552707866
T cell,CD4 Memory,-2.598285769,5.773815826
T cell,CD8 Memory_1,-4.939875935,-2.25297825
Mono/DC,CD14 Mono,6.888122703,4.321943954
T cell,CD4 Memory,-3.416326617,6.845795348
T cell,CD4 Naive,-8.779939984,6.200904086
NK,CD56 bright NK,-4.293375347,-3.510682151
Mono/DC,pDC,6.801842834,-0.325391166
T cell,CD4 Naive,-6.621944283,5.662908748
B cell,Memory B,1.822644498,-12.39567451
T cell,CD4 Memory,-5.016284321,5.705936149
Progenitor cells,GMP,6.80155101,-1.081015274
T cell,CD8 Naive,-7.067198609,-3.768664881
Mono/DC,CD14 Mono,5.977077629,5.217608169
T cell,CD8 Naive,-6.91167054,-4.148261592
T cell,CD4 Memory,-1.956782673,5.555737689
Mono/DC,CD14 Mono,7.777976658,4.8071744
T cell,CD4 Naive,-6.707821225,5.968347266
T cell,CD4 Memory,-4.007255886,6.488963321
Mono/DC,CD14 Mono,5.909324791,5.857600883
T cell,CD8 Naive,-8.049333905,-5.185722157
T cell,CD4 Naive,-4.806945656,3.165542081
T cell,CD4 Naive,-7.916581009,5.914694026
Progenitor cells,Prog_RBC,5.912551548,-5.2211297
T cell,CD4 Naive,-7.353142594,7.36647816
T cell,CD4 Naive,-7.756394242,4.847354606
NK,NK,1.324624683,-3.999126717
T cell,CD4 Memory,-3.546565626,7.241111949
T cell,CD8 Effector_1,-4.070338105,-3.841443583
T cell,CD4 Naive,-7.473099564,7.135038093
B cell,Memory B,2.04389682,-10.9991806
Mono/DC,pDC,6.869602348,-0.496284425
T cell,CD4 Naive,-3.797010516,4.717027858
T cell,CD4 Naive,-8.928682659,5.900539115
Mono/DC,CD14 Mono,5.805021431,5.350705817
Progenitor cells,Prog_B 2,1.044400658,-9.674322888
T cell,MAIT,-4.350239609,-0.406016163
T cell,CD8 Naive,-6.985627507,-3.820564076
Mono/DC,cDC2,6.203803684,1.819241002
Mono/DC,CD14 Mono,8.234768535,5.30811806
T cell,CD4 Memory,-1.66213188,6.699686244
Mono/DC,CD14 Mono,5.448430206,5.507377818
T cell,CD8 Naive,-7.477775429,-4.311932608
Mono/DC,CD14 Mono,7.394659664,5.238662437
T cell,CD4 Memory,-2.414058541,7.226376727
B cell,Naive B,2.681696083,-10.32116584
Mono/DC,CD14 Mono,5.75035205,4.826471999
NK,NK,1.260249759,-4.421422288
B cell,Naive B,3.796091701,-12.30675296
Progenitor cells,Prog_RBC,5.817195083,-5.572268292
Progenitor cells,Prog_RBC,6.75680175,-3.676142976
B cell,Naive B,3.755223657,-11.4895256
Mono/DC,CD14 Mono,6.796252395,3.514143422
Mono/DC,CD14 Mono,7.791073467,5.716746047
T cell,CD4 Naive,-8.600239132,6.669950202
Progenitor cells,Prog_B 2,2.601161625,-10.00246029
T cell,MAIT,1.699892069,3.354701713
Progenitor cells,Prog_Mk,3.77969494,-0.13623631
Mono/DC,CD14 Mono,6.207914497,5.259571746
B cell,Memory B,0.539448793,-10.5334032
B cell,Memory B,1.642321254,-12.06343631
T cell,CD4 Memory,-2.604348276,5.789884284
T cell,CD8 Effector_1,-2.583603476,-3.840184495
Mono/DC,CD14 Mono,5.807719375,4.31205006
Mono/DC,CD14 Mono,5.226762916,1.213611081
Progenitor cells,Prog_RBC,6.257268097,-5.31784229
NK,NK,1.481030728,-5.031203076
T cell,CD8 Naive,-6.992413853,-6.362110421
T cell,CD8 Naive,-7.021149014,-5.543784901
NK,NK,1.532977845,-3.667333171
Mono/DC,cDC2,6.402480747,3.479494766
Mono/DC,CD14 Mono,5.796805526,4.668941692
T cell,CD4 Naive,-5.066958283,4.855266765
T cell,CD4 Naive,-4.095174168,4.953015044
Progenitor cells,GMP,6.645063068,-1.210464224
T cell,CD4 Naive,-6.763084267,1.659518913
Mono/DC,CD14 Mono,7.03433242,4.034607604
T cell,CD8 Naive,-7.527544831,-3.904017493
Mono/DC,CD14 Mono,6.750785019,5.693779662
T cell,Treg,-5.231095646,6.60012503
Mono/DC,CD14 Mono,8.724019672,5.03797026
T cell,CD8 Naive,-7.437499379,-3.678279444
T cell,CD4 Naive,-7.618792866,5.752567962
Mono/DC,cDC2,6.855094101,3.30816932
T cell,gdT,-2.331979607,5.55137749
T cell,CD4 Memory,-3.749548529,6.504423335
T cell,CD8 Memory_2,-3.730901812,-2.371536299
B cell,Naive B,4.236525203,-11.06425743
Mono/DC,CD14 Mono,5.998788978,4.324322418
Mono/DC,CD14 Mono,5.006866123,4.855264381
B cell,Plasmablast,2.493076708,-9.899202153
T cell,CD4 Memory,-4.019377087,6.974458888
T cell,CD4 Memory,-2.906889771,6.850347236
Mono/DC,CD14 Mono,6.537485267,5.878565505
NK,NK,1.363188769,-4.826829716
T cell,CD8 Naive,-7.296149586,-5.746828362
Mono/DC,CD14 Mono,7.089030887,3.489468292
T cell,CD4 Naive,-8.860523556,6.206387237
Mono/DC,CD14 Mono,7.390021946,5.467397407
T cell,CD8 Naive,-6.59340987,-5.759998605
T cell,CD8 Effector_1,-2.918613051,-3.665145442
Progenitor cells,HSC,6.582596447,-3.7043951
B cell,Naive B,2.040295865,-10.9440916
T cell,CD8 Naive,-6.606711243,-5.575226113
Progenitor cells,GMP,6.634244587,-0.053287551
T cell,CD4 Naive,-4.348133419,3.039582685
NK,NK,1.830291654,-5.371289059
T cell,CD8 Effector_1,-2.457773302,-3.594196364
T cell,CD8 Naive,-6.836319302,-4.201957032
B cell,Naive B,3.412900116,-11.37022857
B cell,Naive B,3.152946378,-12.02261905
T cell,CD8 Naive,-6.582948063,-3.854657218
Progenitor cells,LMPP,6.475771572,-1.680077717
T cell,CD8 Memory_2,-2.560173605,-1.424968168
T cell,CD8 Naive,-7.426824902,-4.245795294
T cell,CD4 Memory,-5.594421242,5.885541156
T cell,CD4 Memory,-3.055644606,6.136030868
Mono/DC,CD16 Mono,8.620727207,1.052735999
T cell,CD8 Naive,-6.869649742,-4.293285176
T cell,CD4 Memory,-3.29672799,5.439098552
B cell,Naive B,4.691644813,-11.99345188
Mono/DC,CD14 Mono,6.376882698,4.158800319
T cell,CD8 Memory_2,-4.818945263,-2.095163271
Mono/DC,pDC,7.426511432,0.856727913
T cell,CD8 Naive,-7.267365788,-3.8449779
T cell,CD4 Memory,-2.232658718,5.240560725
T cell,CD8 Naive,-7.36135516,-3.694938466
Progenitor cells,Prog_DC,6.77463546,-0.52710633
T cell,CD8 Memory_2,-4.585184429,-2.325989291
Mono/DC,CD14 Mono,3.641733791,1.481476262
T cell,CD4 Memory,-6.757338856,1.646868661
B cell,Naive B,2.223133709,-11.57449608
Progenitor cells,LMPP,6.436521675,-1.944726154
Mono/DC,CD14 Mono,8.513866092,5.492645458
T cell,CD4 Naive,-6.341055249,4.198137
Mono/DC,CD14 Mono,4.978314068,0.907996014
Progenitor cells,Prog_RBC,6.477682735,-4.997499749
Progenitor cells,Prog_RBC,5.903132583,-5.265277192
Progenitor cells,Prog_RBC,6.20503154,-4.785743043
Mono/DC,CD14 Mono,7.009813453,3.291328147
T cell,CD8 Naive,-7.093290661,-4.006104991
B cell,Naive B,3.661247875,-10.85383968
Mono/DC,CD14 Mono,6.598903801,6.779936507
Mono/DC,CD14 Mono,6.814582016,4.951611713
T cell,CD4 Naive,-8.376753186,4.823535636
Progenitor cells,Prog_B 1,2.913630869,-0.525370329
B cell,Memory B,3.034038688,-12.58987598
T cell,CD4 Memory,-3.85628805,3.668214992
Progenitor cells,Prog_RBC,6.845817711,-3.900923058
T cell,CD8 Naive,-6.085273598,-5.366497323
T cell,CD4 Memory,-2.13654599,6.924861148
T cell,CD4 Naive,-8.105043743,4.844758228
T cell,CD4 Memory,-2.888297413,6.643396095
B cell,Naive B,4.325512554,-11.9212635
Mono/DC,CD14 Mono,6.970073368,3.24483414
T cell,gdT,-3.302597617,-1.371206567
T cell,CD4 Memory,-4.300039624,6.47094889
T cell,CD4 Memory,-2.935219858,6.166415408
B cell,Naive B,3.282181408,-10.57441692
Mono/DC,CD14 Mono,5.35634103,4.115325168
Mono/DC,CD14 Mono,6.13007703,4.918615535
T cell,CD8 Naive,-1.46176133,-0.978634164
T cell,CD8 Naive,-6.622562264,-4.028476998
Mono/DC,CD14 Mono,5.991684581,3.374623254
Progenitor cells,GMP,6.678635265,1.641453222
Progenitor cells,HSC,6.799891616,-2.103316232
B cell,Naive B,3.333154346,-11.68565445
Mono/DC,CD14 Mono,6.977996971,3.452118114
Progenitor cells,Prog_RBC,4.826133873,-0.727553829
T cell,CD8 Naive,-4.008867119,-5.022398755
T cell,MAIT,-4.212725972,-0.274788126
B cell,Memory B,3.15888467,-12.47164898
T cell,CD4 Naive,-9.016847943,6.355880931
B cell,Memory B,2.578370716,-11.7635477
Progenitor cells,GMP,7.328621055,1.411872581
Progenitor cells,Prog_B 1,3.946242239,-10.68427639
T cell,CD8 Naive,-6.658907746,-5.78657417
T cell,CD4 Memory,-3.609881256,3.884252742
T cell,CD8 Effector_1,-2.385531042,-3.608036324
B cell,Memory B,1.775675203,-11.17765598
B cell,Memory B,3.544437076,-11.55305652
Progenitor cells,Prog_RBC,2.406961586,-0.613555804
T cell,CD4 Naive,-7.194053028,7.106647685
Mono/DC,CD14 Mono,5.544281627,2.729768232
T cell,CD4 Naive,-8.271704052,5.566703513
NK,NK,0.066564915,-3.505930945
T cell,CD8 Effector_2,-4.962001179,-3.153443858
T cell,CD4 Memory,-3.017147635,6.387990192
Mono/DC,pDC,6.793358947,0.345852271
T cell,CD8 Effector_1,-2.496797417,-3.473990008
T cell,CD8 Naive,-7.00165305,-3.901534602
T cell,CD8 Naive,-5.918210362,-4.520479008
B cell,Memory B,2.865792658,-12.66564731
T cell,CD8 Naive,-7.153205727,-3.98536472
B cell,Naive B,3.633735801,-11.14211063
B cell,Naive B,3.786380197,-12.55637054
NK,NK,1.944123174,-5.199590966
NK,NK,1.489708568,-5.206596657
Progenitor cells,Prog_B 1,2.855213548,-10.07466011
Mono/DC,CD14 Mono,8.430520679,5.023529723
B cell,Memory B,1.581767227,-11.07876377
T cell,gdT,-2.734692906,-2.359772727
T cell,CD4 Naive,-8.239606236,5.169738487
Mono/DC,CD14 Mono,6.41539159,4.754263118
B cell,Memory B,1.09595051,-9.908560559
Mono/DC,CD14 Mono,6.849869873,3.802774623
T cell,CD4 Naive,-7.924165581,6.486330703
Progenitor cells,GMP,6.805657531,-2.277500912
B cell,Naive B,2.472762729,-11.10534076
Mono/DC,CD14 Mono,5.705779697,3.178763345
Mono/DC,CD14 Mono,6.054611828,5.999496654
Mono/DC,CD14 Mono,8.032360222,4.834713176
T cell,CD4 Naive,-8.910682057,5.426796153
T cell,CD8 Naive,-5.707447384,-4.623941704
T cell,CD4 Naive,-8.953722332,6.313461498
Mono/DC,CD14 Mono,7.280355121,6.178096965
T cell,CD8 Naive,-1.418536638,-1.648121521
Progenitor cells,LMPP,6.608757641,-1.181444928
T cell,CD4 Naive,-7.230320309,7.255150512
T cell,CD8 Naive,-6.119340275,-4.227457091
T cell,CD8 Naive,-7.351773117,-4.202038571
Progenitor cells,Prog_RBC,6.29035392,-5.517882153
Mono/DC,pDC,7.493766452,0.649244383
T cell,CD8 Naive,-6.048539494,-4.942681596
T cell,MAIT,-4.363954876,-0.769167408
T cell,CD4 Memory,-2.368525122,6.419150546
NK,NK,0.43545192,-3.442848012
T cell,CD4 Memory,-1.950955842,6.220437244
T cell,MAIT,-3.809061859,-0.373444021
Progenitor cells,Prog_RBC,3.014634277,-0.478457168
Mono/DC,CD14 Mono,6.421541835,4.968396858
T cell,CD8 Memory_2,-4.212807034,-2.215013549
T cell,CD4 Memory,-5.433006619,6.159643367
T cell,CD4 Memory,-4.814349984,6.02193661
T cell,CD8 Naive,-6.205677365,-5.750903413
Mono/DC,CD14 Mono,5.303197529,3.855756477
NK,NK,1.264597203,-5.439978883
T cell,MAIT,-4.446909283,-0.3131174
T cell,CD4 Memory,-1.83295164,6.635871127
B cell,Naive B,3.959214594,-10.97652702
T cell,CD8 Naive,-6.772312973,-3.036374137
B cell,Naive B,3.423004772,-11.09281997
Progenitor cells,GMP,5.69130149,2.386599496
Progenitor cells,Prog_RBC,5.689736511,-5.441561028
T cell,CD4 Naive,-6.732721184,5.439735606
Mono/DC,CD14 Mono,6.24668708,3.877084449
NK,NK,2.098717357,-4.768229291
T cell,CD4 Naive,-7.908940171,6.174473003
Progenitor cells,Prog_RBC,6.0171124,-1.957112715
Progenitor cells,GMP,7.34438863,0.910495237
T cell,CD4 Memory,-4.362630223,7.073422149
Mono/DC,CD14 Mono,7.500600006,4.586588577
T cell,CD4 Naive,-7.254939411,4.887944415
T cell,MAIT,-4.26880822,-0.713109091
NK,NK,1.220742966,-4.182376906
T cell,CD4 Naive,-7.956158017,5.39173241
Mono/DC,CD14 Mono,5.683017875,3.766577915
B cell,Naive B,2.852987434,-11.50670128
T cell,CD8 Naive,-8.116106366,-4.298048302
T cell,CD4 Naive,-6.849275921,6.393123344
T cell,CD8 Naive,-4.110185479,-4.993728921
T cell,CD4 Naive,-7.426918362,1.824272826
T cell,CD8 Memory_2,-2.558352087,-2.625596568
T cell,CD8 Naive,-7.592937802,-4.122893855
B cell,Memory B,2.431420232,-12.09482841
B cell,Naive B,4.051224853,-10.90194683
Progenitor cells,GMP,6.799709465,0.119854733
Mono/DC,CD14 Mono,7.695690776,3.784635738
B cell,Memory B,1.051556851,-11.47653274
Mono/DC,CD14 Mono,6.638389255,5.058122352
T cell,CD4 Naive,-7.801426743,6.487008765
T cell,CD8 Naive,-7.70235524,-5.273161694
T cell,CD4 Naive,-6.996357296,5.238258556
B cell,Memory B,1.734391238,-10.64358501
Mono/DC,CD14 Mono,4.973121311,5.382152751
T cell,CD8 Effector_2,-3.825426911,-2.786958501
Mono/DC,CD14 Mono,6.741630699,6.225089267
Progenitor cells,Prog_Mk,6.8964664,-2.575508639
B cell,Memory B,1.211516048,-11.51148967
Progenitor cells,GMP,7.963186409,1.892533735
B cell,Memory B,2.632746841,-12.81329708
B cell,Plasmablast,3.33365431,-9.120972439
T cell,CD8 Naive,-7.457082604,-4.36368303
Progenitor cells,GMP,6.480558063,2.611453727
T cell,CD8 Memory_2,-3.776514862,-2.447775885
T cell,CD8 Memory_1,-5.174647187,-4.068938538
Progenitor cells,Prog_RBC,6.639508392,-3.123258158
Mono/DC,CD14 Mono,8.836768772,4.739719108
Mono/DC,CD14 Mono,6.120441581,2.85153456
T cell,CD8 Naive,-4.388503884,-4.950619981
B cell,Memory B,0.900304701,-9.728347584
NK,NK,1.904005553,-4.082659528
Progenitor cells,LMPP,7.025893833,-3.426522061
B cell,Naive B,2.788662578,-12.62047748
Mono/DC,CD14 Mono,4.97613826,0.885118559
T cell,CD4 Naive,-8.210769032,6.065114692
Mono/DC,CD14 Mono,7.725800182,6.271593288
T cell,CD8 Naive,-4.08013377,-4.857480809
T cell,MAIT,-4.452610825,-0.671415642
Mono/DC,CD14 Mono,8.658172275,4.338926032
T cell,CD4 Memory,-4.898813103,6.410007194
Progenitor cells,Prog_RBC,6.327327396,-5.376989648
T cell,CD8 Naive,-6.430549477,-4.704533383
Mono/DC,CD14 Mono,7.689996864,3.534455016
T cell,CD8 Naive,-1.630704497,-1.045615181
B cell,Naive B,3.136033918,-10.47409324
T cell,CD8 Memory_1,-5.129328583,-3.3049777
T cell,CD8 Memory_2,-2.328897093,-2.645432517
T cell,CD4 Memory,-3.576950167,5.163403705
Mono/DC,CD14 Mono,6.387848045,5.457153037
T cell,CD8 Naive,-7.288023804,-5.459811494
Mono/DC,CD14 Mono,7.84394231,5.340484336
T cell,CD4 Naive,-7.808307503,6.049982742
B cell,Memory B,1.821623708,-12.57618313
T cell,CD8 Naive,-6.26362357,-4.34823589
T cell,CD4 Memory,-3.85104308,7.441537574
Mono/DC,cDC2,7.081018593,1.452575281
T cell,CD8 Naive,-7.50702462,-4.596316144
Mono/DC,CD14 Mono,7.255942489,4.382048324
Progenitor cells,HSC,6.343671943,-3.793978974
Mono/DC,CD14 Mono,6.402535106,3.528766111
Mono/DC,CD14 Mono,8.901947643,5.235123828
T cell,CD4 Naive,-7.976357792,7.038646415
Progenitor cells,Prog_DC,4.194463398,1.019527272
T cell,CD4 Naive,-8.009079312,6.648452476
B cell,Memory B,1.935584094,-12.01143818
Mono/DC,CD14 Mono,7.482852127,3.660142616
T cell,CD8 Naive,-7.09557948,-6.622724816
T cell,CD4 Naive,-9.034504269,5.868457511
B cell,Memory B,1.940182592,-11.24830703
Mono/DC,CD14 Mono,7.774275448,4.466906741
Mono/DC,CD14 Mono,5.456557418,4.127163127
T cell,CD8 Naive,-4.891882275,-4.454008385
Progenitor cells,Prog_B 2,1.93379059,-8.687045857
T cell,CD4 Naive,-8.929810856,5.993155196
T cell,CD8 Naive,-6.247024392,-5.585262105
B cell,Naive B,4.485389377,-11.62213974
Progenitor cells,Prog_RBC,6.62552705,-4.12261419
T cell,CD8 Naive,-7.463518952,-4.543881222
T cell,CD8 Naive,-6.255983208,-4.031271264
NK,NK,1.709586527,-4.499453351
B cell,Plasmablast,1.979737784,-8.937080189
Mono/DC,CD14 Mono,6.437464382,5.416987613
T cell,CD8 Naive,-7.208906983,-4.171936557
Mono/DC,CD14 Mono,7.841276313,4.679254249
Mono/DC,CD14 Mono,6.980301048,4.827917293
T cell,CD8 Memory_1,-5.834100102,-3.411179826
T cell,CD4 Memory,-3.616781329,6.677365974
B cell,Plasmablast,2.521213438,-9.826990887
B cell,Memory B,1.885407116,-11.53682785
Mono/DC,CD14 Mono,6.367727901,3.474836067
Mono/DC,CD14 Mono,4.830208446,4.526635364
Mono/DC,CD14 Mono,7.312936927,5.931947425
T cell,Treg,-5.790074681,6.047995761
T cell,CD4 Naive,-8.281783436,4.807913497
Mono/DC,cDC2,7.499533798,3.573828891
T cell,CD4 Memory,-5.11351857,6.08319445
Progenitor cells,GMP,8.347912456,3.760345653
T cell,CD4 Memory,-3.563250159,3.903567031
Progenitor cells,Prog_RBC,6.559008743,-3.224701926
T cell,MAIT,-4.157221173,-0.308992393
T cell,CD8 Naive,-6.210673188,-4.971173569
Progenitor cells,LMPP,6.765259887,-2.01510565
T cell,CD4 Memory,-4.213061188,6.493104652
T cell,CD4 Memory,-2.423000429,7.224243835
T cell,CD4 Naive,-6.569198464,7.21679993
Mono/DC,CD14 Mono,5.973124649,4.130663589
Mono/DC,CD14 Mono,5.732148315,4.725841716
T cell,CD8 Naive,-6.429080819,-4.532604024
Mono/DC,CD14 Mono,8.092555668,3.485986427
T cell,CD8 Memory_2,-4.231233452,-3.084360882
Mono/DC,CD14 Mono,6.381322052,5.085465625
T cell,CD4 Naive,-8.844874714,5.67104359
Mono/DC,CD14 Mono,5.959624435,3.375831798
T cell,gdT,-3.581428622,0.043759003
Progenitor cells,GMP,5.802408363,3.468121007
B cell,Naive B,3.307542946,-11.18372516
T cell,MAIT,-4.439011429,-0.114832118
B cell,Memory B,2.324862863,-10.78276233
T cell,Treg,-5.835784767,5.571422294
T cell,CD8 Memory_2,-2.952630375,-2.38488774
T cell,CD8 Naive,-6.343503331,-4.100409791
Mono/DC,CD14 Mono,7.18396249,3.60339661
T cell,CD8 Naive,-7.975847576,-4.958755776
Mono/DC,CD14 Mono,6.792267944,5.423025802
B cell,Naive B,1.851251985,-8.844787404
T cell,CD4 Memory,-1.823496912,6.087299064
Mono/DC,CD14 Mono,6.794228222,4.519571498
T cell,CD4 Memory,-3.829017495,6.281084255
NK,NK,1.818162705,-5.852565572
T cell,CD8 Naive,-7.101020668,-6.888883874
Mono/DC,CD14 Mono,5.541020061,2.68204017
Progenitor cells,LMPP,6.666629459,-0.844211385
Mono/DC,CD14 Mono,7.30641761,4.985162929
T cell,CD8 Naive,-6.290613983,-3.984284684
T cell,CD8 Naive,-1.502476428,-1.1341459
T cell,CD8 Naive,-7.917386387,-4.052774712
Mono/DC,CD14 Mono,7.002551223,3.550610021
Mono/DC,CD14 Mono,7.725626136,6.724456981
Mono/DC,CD14 Mono,6.996794845,3.599622682
T cell,CD8 Effector_1,-3.154603337,-3.732544705
Mono/DC,CD14 Mono,6.845080997,5.462991432
Mono/DC,CD14 Mono,7.695056106,6.727298454
Mono/DC,CD14 Mono,7.377136852,3.58190985
NK,NK,0.90114602,-3.928506896
Mono/DC,CD14 Mono,5.327540542,4.83035107
Mono/DC,CD14 Mono,3.994167711,1.319200114
Mono/DC,CD14 Mono,4.613508846,5.152631477
T cell,CD8 Naive,-6.516316746,-5.060233876
Progenitor cells,Prog_RBC,6.437004711,-4.944465443
T cell,CD8 Naive,-7.217814301,-5.082793519
Mono/DC,cDC2,7.599829818,3.93925257
T cell,CD4 Memory,-3.359698151,6.212630466
Progenitor cells,Prog_RBC,6.065464641,-5.624325558
Mono/DC,CD14 Mono,6.760329868,3.289792493
Mono/DC,CD14 Mono,5.015901233,4.180241779
NK,NK,1.70493498,-5.008155152
Mono/DC,CD14 Mono,7.055059578,5.596125797
T cell,CD4 Naive,-8.900773381,6.364135459
NK,NK,0.62360027,-3.475731417
Progenitor cells,Prog_Mk,2.917843963,-0.523163631
T cell,CD8 Naive,-7.358048771,-3.517594144
T cell,CD4 Naive,-9.328006123,5.963158325
B cell,Memory B,3.84095564,-12.14821605
Mono/DC,CD14 Mono,6.626814987,2.801400378
T cell,CD4 Naive,-7.583237503,7.326300815
Mono/DC,CD14 Mono,7.49101987,2.746849016
Mono/DC,CD14 Mono,6.821264412,4.736037448
Mono/DC,CD14 Mono,9.161509182,5.569377139
T cell,CD4 Memory,-6.543564175,1.610870674
Progenitor cells,Prog_DC,6.807099487,2.33127065
T cell,CD8 Memory_1,-5.86862645,-3.380965039
Progenitor cells,HSC,5.156893875,-0.836892351
T cell,CD8 Naive,-6.845735882,-4.248911664
Mono/DC,CD14 Mono,5.891716148,6.085631088
Mono/DC,CD14 Mono,6.497167255,4.726115421
T cell,CD4 Naive,-6.850268219,4.535970405
T cell,CD4 Memory,-2.375421856,6.848063186
T cell,CD4 Naive,-8.109352444,5.887595371
T cell,CD4 Naive,-8.008418415,7.116307929
