celltype.l1,celltype.l2,UMAP1,UMAP2
T cell,CD4 Naive,5.307278301,4.387430878
T cell,MAIT,7.183302548,-1.996155051
T cell,CD8 Naive,3.885523703,7.218679639
Mono/DC,CD14 Mono,-6.519494865,3.317994805
B cell,Memory B,1.148923542,-11.26139763
Mono/DC,CD14 Mono,-7.29785094,4.168290826
T cell,CD4 Naive,1.982373264,2.219052764
T cell,CD8 Naive,1.776586916,2.772723885
Mono/DC,CD14 Mono,-7.406644199,1.401360842
T cell,CD4 Memory,7.758889343,1.911035033
B cell,Naive B,-1.713051651,-10.7241843
Mono/DC,CD14 Mono,-8.114084575,4.078399869
T cell,CD8 Effector_2,5.258398678,-3.404317407
Mono/DC,CD14 Mono,-6.354412411,2.577206345
T cell,CD8 Naive,3.595674422,6.450547429
T cell,CD8 Naive,4.376959946,6.203936787
T cell,CD4 Memory,7.475928452,2.749561282
Mono/DC,CD14 Mono,-9.515950535,5.005556317
T cell,gdT,7.539521839,-2.406161813
T cell,CD8 Effector_2,5.521989491,-2.859422712
T cell,CD4 Memory,4.945184853,0.860489639
Mono/DC,cDC2,-11.04507289,4.809129449
T cell,CD8 Naive,3.331257012,6.474056454
T cell,CD4 Memory,5.175066616,-1.723084239
T cell,MAIT,6.977994587,-1.988473443
T cell,CD8 Naive,4.794738438,6.002455922
T cell,CD8 Memory_1,7.201523926,-1.476724533
NK,NK,5.951810028,-5.412807254
B cell,Naive B,-2.267432544,-11.92648342
NK,NK,8.192159321,-6.307351855
T cell,CD4 Naive,5.486647751,4.025138827
Mono/DC,CD14 Mono,-6.613027904,4.213320943
Mono/DC,cDC2,-11.86130271,2.866576167
T cell,CD4 Naive,2.881066944,1.871066781
T cell,CD4 Memory,6.299388554,-1.083554296
Progenitor cells,GMP,-8.410110805,-0.712162821
Mono/DC,CD14 Mono,-8.556438778,1.190208526
T cell,CD4 Naive,4.759340431,3.757284613
B cell,Naive B,-1.724770878,-11.35475281
NK,NK,7.903817322,-5.599555282
Mono/DC,CD14 Mono,-7.496268604,-0.108979342
T cell,CD8 Naive,5.181295063,0.047338546
T cell,CD4 Memory,7.529913094,1.420190545
T cell,CD4 Memory,7.556552078,2.137395354
Mono/DC,CD14 Mono,-9.664574955,5.832118245
T cell,CD4 Memory,4.189732458,0.889121624
T cell,CD4 Naive,4.5515677,3.394488307
B cell,Memory B,-0.079078678,-10.6959441
T cell,CD4 Naive,3.808581974,2.889668675
Progenitor cells,Prog_RBC,-3.056115244,-1.741459755
T cell,CD4 Naive,3.889970925,3.717958899
T cell,CD4 Memory,7.443515923,0.63477871
T cell,CD8 Memory_1,4.466910031,5.490589829
Mono/DC,CD14 Mono,-10.32414088,4.307943555
T cell,CD4 Memory,4.738622811,1.029195698
T cell,CD4 Naive,4.917315628,4.383471223
NK,CD56 bright NK,6.54882684,-2.676330833
Mono/DC,pDC,-10.16260752,-6.346213607
T cell,CD4 Naive,4.317751553,4.417242738
B cell,Memory B,-1.179272268,-10.83774593
T cell,CD4 Memory,4.290903237,0.581763836
Progenitor cells,GMP,-7.796190594,-2.59681776
T cell,CD8 Naive,2.042519238,3.574959012
Mono/DC,CD14 Mono,-8.568411205,2.996486398
T cell,CD8 Naive,5.129915859,6.358731957
T cell,CD4 Memory,6.653534558,2.728214474
Mono/DC,CD14 Mono,-8.708312366,5.535659047
T cell,CD4 Naive,3.376974728,1.240147324
T cell,CD4 Memory,7.18760648,0.565051409
Mono/DC,CD14 Mono,-8.400033329,3.58587906
T cell,CD8 Naive,3.676229384,6.502653333
T cell,CD4 Naive,2.323850777,1.759469004
T cell,CD4 Naive,5.535354283,3.746826859
Progenitor cells,Prog_RBC,-2.002239082,-2.387818126
T cell,CD4 Naive,3.092524912,1.263342114
T cell,CD4 Naive,5.080860283,4.435427399
NK,NK,8.207738068,-6.888430862
T cell,CD4 Memory,4.845475819,2.14465973
T cell,CD8 Effector_1,5.819419529,-4.193614749
T cell,CD4 Naive,3.729524042,3.740602465
B cell,Memory B,0.023547377,-10.94311645
Mono/DC,pDC,-9.406810138,-6.732274799
T cell,CD4 Naive,4.14299741,0.969634744
T cell,CD4 Naive,5.616935875,4.801769467
Mono/DC,CD14 Mono,-6.81419358,3.412738772
Progenitor cells,Prog_B 2,-5.852078769,-8.135135917
T cell,MAIT,7.04784074,-2.668437747
T cell,CD8 Naive,4.330185559,7.284084054
Mono/DC,cDC2,-12.26490435,2.605670424
Mono/DC,CD14 Mono,-9.032312725,4.287575455
T cell,CD4 Memory,3.780480292,0.772621008
Mono/DC,CD14 Mono,-8.631196354,3.607986184
T cell,CD8 Naive,1.921002533,3.281948539
Mono/DC,CD14 Mono,-7.478576038,2.392586203
T cell,CD4 Memory,4.144708302,1.086531015
B cell,Naive B,-1.487364266,-11.15421894
Mono/DC,CD14 Mono,-9.616425846,4.890524121
NK,NK,8.473094609,-4.746912269
B cell,Naive B,-0.118074689,-12.31128624
Progenitor cells,Prog_RBC,-2.717296932,-1.353878884
Progenitor cells,Prog_RBC,-5.455278251,-4.146637229
B cell,Naive B,-1.798575018,-12.67426231
Mono/DC,CD14 Mono,-8.347554539,1.54774222
Mono/DC,CD14 Mono,-6.391848419,2.688189479
T cell,CD4 Naive,2.527285006,1.382043334
Progenitor cells,Prog_B 2,-2.276970718,-6.853070525
T cell,MAIT,5.670770313,-1.236175207
Progenitor cells,Prog_Mk,-5.819305752,-5.586561469
Mono/DC,CD14 Mono,-8.451755855,3.87213132
B cell,Memory B,-0.058938,-10.60934189
B cell,Memory B,1.811465051,-11.6790078
T cell,CD4 Memory,7.802305367,2.419476004
T cell,CD8 Effector_1,6.963936474,-4.934355525
Mono/DC,CD14 Mono,-7.506852482,4.43069193
Mono/DC,CD14 Mono,-6.57394347,1.870636555
Progenitor cells,Prog_RBC,-2.24664006,-3.194414882
NK,NK,8.542235043,-6.063895492
T cell,CD8 Naive,3.7146472,7.038263055
T cell,CD8 Naive,1.79579499,2.701348992
NK,NK,8.108345654,-6.659208564
Mono/DC,cDC2,-9.908743236,2.952493163
Mono/DC,CD14 Mono,-8.454138134,6.051937791
T cell,CD4 Naive,2.616476919,1.940260859
T cell,CD4 Naive,3.150751021,3.048743697
Progenitor cells,GMP,-7.433659408,-2.769579915
T cell,CD4 Naive,2.408643391,1.8748028
Mono/DC,CD14 Mono,-9.140546177,6.1430752
T cell,CD8 Naive,3.888116743,7.481579037
Mono/DC,CD14 Mono,-7.342034672,4.415780755
T cell,Treg,4.827356961,1.798573824
Mono/DC,CD14 Mono,-10.09049639,5.521709653
T cell,CD8 Naive,2.004449036,1.930522652
T cell,CD4 Naive,5.302552368,3.324301692
Mono/DC,cDC2,-11.7887443,3.252671691
T cell,gdT,7.561281349,-4.750771789
T cell,CD4 Memory,5.735474732,1.285791965
T cell,CD8 Memory_2,5.77479377,-4.852574138
B cell,Naive B,-1.283678386,-12.79488304
Mono/DC,CD14 Mono,-8.3500751,1.855026813
Mono/DC,CD14 Mono,-9.475015972,3.371145936
B cell,Plasmablast,-2.735212419,-6.664979724
T cell,CD4 Memory,7.508334305,2.424738141
T cell,CD4 Memory,5.741485264,2.370716067
Mono/DC,CD14 Mono,-8.286473606,4.749869557
NK,NK,8.395859387,-5.640492706
T cell,CD8 Naive,3.864028122,5.621849747
Mono/DC,CD14 Mono,-8.388301227,0.693440529
T cell,CD4 Naive,4.730755951,2.039036485
Mono/DC,CD14 Mono,-9.226429317,3.822683068
T cell,CD8 Naive,4.728440907,5.158815594
T cell,CD8 Effector_1,5.377714779,-1.810612468
Progenitor cells,HSC,-6.088257644,-5.86156681
B cell,Naive B,-0.80155072,-12.22880104
T cell,CD8 Naive,2.872676041,3.582236501
Progenitor cells,GMP,-7.990060184,-2.375370053
T cell,CD4 Naive,3.819842484,5.421129914
NK,NK,8.764821675,-6.437422542
T cell,CD8 Effector_1,6.014722492,-4.721297054
T cell,CD8 Naive,5.334810879,5.206287118
B cell,Naive B,-0.703329597,-12.17220142
B cell,Naive B,-1.85642514,-12.34964397
T cell,CD8 Naive,3.653197434,6.113041135
Progenitor cells,LMPP,-7.116023872,-5.235722331
T cell,CD8 Memory_2,5.193605568,-2.609221725
T cell,CD8 Naive,2.251613285,3.14722416
T cell,CD4 Memory,5.762288716,3.568775864
T cell,CD4 Memory,4.324273255,1.958791586
Mono/DC,CD16 Mono,-7.64603791,8.570092889
T cell,CD8 Naive,3.856183912,7.168103905
T cell,CD4 Memory,7.76422229,0.713669511
B cell,Naive B,-1.869265888,-12.29778412
Mono/DC,CD14 Mono,-8.871653888,4.173995705
T cell,CD8 Memory_2,7.573791172,2.91605136
Mono/DC,pDC,-10.26418338,-6.572849063
T cell,CD8 Naive,3.998998072,7.156089516
T cell,CD4 Memory,7.315353539,1.53087041
T cell,CD8 Naive,3.437209513,7.010443421
Progenitor cells,Prog_DC,-9.22460017,-5.86712387
T cell,CD8 Memory_2,4.952028897,-2.674840955
Mono/DC,CD14 Mono,-6.683094833,1.132932158
T cell,CD4 Memory,8.101880696,2.114335509
B cell,Naive B,-0.964415047,-12.68616226
Progenitor cells,LMPP,-6.821135376,-5.227887897
Mono/DC,CD14 Mono,-7.593936775,2.317730399
T cell,CD4 Naive,5.117290165,6.697144719
Mono/DC,CD14 Mono,-7.036666248,4.613021584
Progenitor cells,Prog_RBC,-3.331269119,-3.823378114
Progenitor cells,Prog_RBC,-3.012724493,-1.408405689
Progenitor cells,Prog_RBC,-3.786506031,-3.69455984
Mono/DC,CD14 Mono,-6.375804279,2.961923095
T cell,CD8 Naive,2.722342159,6.469361516
B cell,Naive B,-2.221763943,-11.40434006
Mono/DC,CD14 Mono,-8.519462917,3.43064663
Mono/DC,CD14 Mono,-9.149380062,4.693861695
T cell,CD4 Naive,3.955216076,3.802744122
Progenitor cells,Prog_B 1,-6.146517132,-6.968589572
B cell,Memory B,0.747809168,-11.99880531
T cell,CD4 Memory,3.407948401,1.664807888
Progenitor cells,Prog_RBC,-4.642422054,-4.684451846
T cell,CD8 Naive,2.573685791,2.109026643
T cell,CD4 Memory,7.486658718,1.154315563
T cell,CD4 Naive,4.630445626,3.997829409
T cell,CD4 Memory,7.038702156,2.718400212
B cell,Naive B,-1.235722039,-12.15628746
Mono/DC,CD14 Mono,-7.880524013,1.946795436
T cell,gdT,7.56299844,-4.141361503
T cell,CD4 Memory,4.049805786,1.960229965
T cell,CD4 Memory,7.519549992,1.120166274
B cell,Naive B,-2.276377056,-12.66911152
Mono/DC,CD14 Mono,-9.283877704,4.398119183
Mono/DC,CD14 Mono,-10.185181,4.44997284
T cell,CD8 Naive,4.359509136,7.219615193
T cell,CD8 Naive,1.79900613,2.426115485
Mono/DC,CD14 Mono,-9.885836933,3.957449885
Progenitor cells,GMP,-8.453362797,-0.061669519
Progenitor cells,HSC,-6.75133023,-5.217691211
B cell,Naive B,-1.74062619,-12.69960812
Mono/DC,CD14 Mono,-9.189337108,6.410176488
Progenitor cells,Prog_RBC,-4.261581276,-3.957570819
T cell,CD8 Naive,3.820498135,6.831875535
T cell,MAIT,6.754689362,-1.173454551
B cell,Memory B,0.505766403,-11.36319855
T cell,CD4 Naive,3.796630528,2.289394828
B cell,Memory B,1.901547339,-11.62039593
Progenitor cells,GMP,-7.955295894,-1.229011921
Progenitor cells,Prog_B 1,-5.02129731,-8.454820899
T cell,CD8 Naive,2.509696629,5.100344392
T cell,CD4 Memory,5.136354115,1.063721867
T cell,CD8 Effector_1,5.944941189,-5.444508342
B cell,Memory B,0.953245308,-11.82591274
B cell,Memory B,0.290669207,-11.2486861
Progenitor cells,Prog_RBC,-2.328288172,-2.497810392
T cell,CD4 Naive,7.102354672,2.860417815
Mono/DC,CD14 Mono,-6.444917057,2.799381705
T cell,CD4 Naive,5.384836342,3.381491395
NK,NK,6.601329949,-4.938628463
T cell,CD8 Effector_2,7.251833107,-2.592999725
T cell,CD4 Memory,7.595346119,1.823130699
Mono/DC,pDC,-10.05489859,-6.560419826
T cell,CD8 Effector_1,6.748619225,-5.093733577
T cell,CD8 Naive,5.143774655,5.290745946
T cell,CD8 Naive,3.714352514,6.796805116
B cell,Memory B,1.623639014,-11.55673817
T cell,CD8 Naive,3.74778166,7.008638116
B cell,Naive B,-1.351108048,-12.6849406
B cell,Naive B,-0.798425648,-12.27026871
NK,NK,-10.3267425,3.490922662
NK,NK,8.199624684,-6.382888107
Progenitor cells,Prog_B 1,-5.162029598,-8.307287482
Mono/DC,CD14 Mono,-7.409637306,4.363063546
B cell,Memory B,0.9992983,-11.87562302
T cell,gdT,8.070796635,-4.903503207
T cell,CD4 Naive,2.450151589,3.046548816
Mono/DC,CD14 Mono,-9.241177891,4.005165072
B cell,Memory B,0.668883856,-10.66843632
Mono/DC,CD14 Mono,-8.62758765,3.899950476
T cell,CD4 Naive,3.785731222,3.610316249
Progenitor cells,GMP,-7.255061481,-2.705592183
B cell,Naive B,-1.644936416,-12.15329769
Mono/DC,CD14 Mono,-6.943812225,3.538503142
Mono/DC,CD14 Mono,-8.977648113,2.973165246
Mono/DC,CD14 Mono,-6.723812912,2.172006102
T cell,CD4 Naive,3.929447081,4.06716034
T cell,CD8 Naive,2.827894356,6.305408688
T cell,CD4 Naive,1.832731154,2.151452037
Mono/DC,CD14 Mono,-7.307128284,3.797908994
T cell,CD8 Naive,2.463954117,1.239935847
Progenitor cells,LMPP,-7.457877968,-4.104127673
T cell,CD4 Naive,3.191094782,1.867464395
T cell,CD8 Naive,4.560761597,5.008077832
T cell,CD8 Naive,3.732674267,7.182346555
Progenitor cells,Prog_RBC,-2.974602316,-3.762730865
Mono/DC,pDC,-9.557934139,-6.88675621
T cell,CD8 Naive,2.74475446,6.382391663
T cell,MAIT,7.401228573,-2.652203588
T cell,CD4 Memory,6.805915501,3.209546061
NK,NK,7.696952488,-5.977537898
T cell,CD4 Memory,5.907093193,0.549946012
T cell,MAIT,5.694283154,-1.276550082
Progenitor cells,Prog_RBC,-5.138331268,-3.96730545
Mono/DC,CD14 Mono,-9.630674694,5.682001324
T cell,CD8 Memory_2,5.70570245,-3.520196466
T cell,CD4 Memory,5.173711922,3.814022275
T cell,CD4 Memory,6.178861763,3.256979914
T cell,CD8 Naive,3.15117922,5.887698384
Mono/DC,CD14 Mono,-9.377618168,3.506235572
NK,NK,8.383621838,-5.891296653
T cell,MAIT,7.433149006,-2.72428563
T cell,CD4 Memory,3.875607397,1.574550601
B cell,Naive B,-0.329287443,-11.55764511
T cell,CD8 Naive,2.586649801,5.010146352
B cell,Naive B,-2.087443683,-11.40740993
Progenitor cells,GMP,-7.323443268,-0.540843574
Progenitor cells,Prog_RBC,-2.78323016,-1.322870878
T cell,CD4 Naive,3.827878144,1.999674769
Mono/DC,CD14 Mono,-7.294156406,4.025021048
NK,NK,7.942099716,-5.700999526
T cell,CD4 Naive,4.887505676,3.274470301
Progenitor cells,Prog_RBC,-5.170807216,-4.296797065
Progenitor cells,GMP,-7.697020862,-0.952962426
T cell,CD4 Memory,6.030031826,3.986590119
Mono/DC,CD14 Mono,-9.818271015,6.355901452
T cell,CD4 Naive,5.849472668,3.444590064
T cell,MAIT,7.591231968,-2.619798211
NK,NK,8.636799481,-6.532861022
T cell,CD4 Naive,2.414744284,1.355130764
Mono/DC,CD14 Mono,-9.42845187,5.317002984
B cell,Naive B,-1.809620474,-13.19367626
T cell,CD8 Naive,3.583842661,6.298852177
T cell,CD4 Naive,5.202982571,4.062607499
T cell,CD8 Naive,2.304657366,1.209710689
T cell,CD4 Naive,2.584612276,2.409191819
T cell,CD8 Memory_2,5.780436661,-3.61714342
T cell,CD8 Naive,2.736904528,3.870006772
B cell,Memory B,1.330601241,-11.16528919
B cell,Naive B,-2.033120249,-12.45714882
Progenitor cells,GMP,-7.509493683,-2.541732816
Mono/DC,CD14 Mono,-8.980367992,3.426258536
B cell,Memory B,1.859566715,-11.43485001
Mono/DC,CD14 Mono,-7.744366024,3.106089326
T cell,CD4 Naive,3.683806088,4.78188345
T cell,CD8 Naive,3.889887955,6.845700475
T cell,CD4 Naive,4.242166664,3.809604379
B cell,Memory B,1.666367318,-11.70680931
Mono/DC,CD14 Mono,-6.618312214,2.714430304
T cell,CD8 Effector_2,4.742855694,-3.266030339
Mono/DC,CD14 Mono,-7.404169414,4.826470586
Progenitor cells,Prog_Mk,-6.679265831,-5.289266853
B cell,Memory B,0.307947934,-10.66132858
Progenitor cells,GMP,-8.254517887,-0.694974033
B cell,Memory B,0.525960144,-11.89590767
B cell,Plasmablast,-2.5476068,-6.601905612
T cell,CD8 Naive,4.406397488,5.892708035
Progenitor cells,GMP,-8.049541805,-0.001630342
T cell,CD8 Memory_2,4.932025578,-2.986632375
T cell,CD8 Memory_1,4.351532128,0.490636887
Progenitor cells,Prog_RBC,-5.948074672,-5.287287025
Mono/DC,CD14 Mono,-7.192649696,5.149300309
Mono/DC,CD14 Mono,-9.560728405,3.324767323
T cell,CD8 Naive,1.730314638,3.110497924
B cell,Memory B,0.629407104,-11.47099045
NK,NK,8.415680554,-5.080207137
Progenitor cells,LMPP,-5.468182419,-5.469658641
B cell,Naive B,-0.713972423,-11.52770546
Mono/DC,CD14 Mono,-7.291759346,4.6922991
T cell,CD4 Naive,5.653968479,3.316433402
Mono/DC,CD14 Mono,-8.446141575,1.878520461
T cell,CD8 Naive,2.789916422,5.214548322
T cell,MAIT,7.214216854,-1.735895304
Mono/DC,CD14 Mono,-10.5756763,4.848953934
T cell,CD4 Memory,6.891891625,2.302649232
Progenitor cells,Prog_RBC,-2.444994543,-3.432170657
T cell,CD8 Naive,2.118596341,3.13161871
Mono/DC,CD14 Mono,-8.899462078,0.799140843
T cell,CD8 Naive,2.036042835,1.56996903
B cell,Naive B,-2.169962261,-11.70799377
T cell,CD8 Memory_1,5.260260727,-0.62502536
T cell,CD8 Memory_2,6.056160595,-4.946706561
T cell,CD4 Memory,7.885145333,1.002087684
Mono/DC,CD14 Mono,-8.194096897,5.434092255
T cell,CD8 Naive,3.906190779,5.37476656
Mono/DC,CD14 Mono,-7.178613518,0.781287523
T cell,CD4 Naive,3.964941408,3.556327792
B cell,Memory B,1.057544913,-11.89205101
T cell,CD8 Naive,3.42774358,5.61590931
T cell,CD4 Memory,4.287399914,1.331226917
Mono/DC,cDC2,-11.90648112,2.851196976
T cell,CD8 Naive,1.723156121,3.032001229
Mono/DC,CD14 Mono,-6.321611259,3.546339007
Progenitor cells,HSC,-6.198319767,-5.661867885
Mono/DC,CD14 Mono,-9.34077296,3.73927209
Mono/DC,CD14 Mono,-7.610175464,4.310762139
T cell,CD4 Naive,2.565442469,1.818194123
Progenitor cells,Prog_DC,-11.74449954,1.46454403
T cell,CD4 Naive,3.483146574,2.714150639
B cell,Memory B,1.221024122,-11.93202331
Mono/DC,CD14 Mono,-8.577988956,4.712388726
T cell,CD8 Naive,2.243323948,1.879683705
T cell,CD4 Naive,2.476708557,1.989095898
B cell,Memory B,-1.266761158,-12.45747116
Mono/DC,CD14 Mono,-9.770925854,2.971348973
Mono/DC,CD14 Mono,-9.58089957,2.677690955
T cell,CD8 Naive,1.99930742,2.764164658
Progenitor cells,Prog_B 2,-5.796092842,-8.10391262
T cell,CD4 Naive,4.907406475,4.946396561
T cell,CD8 Naive,2.839253809,3.431804629
B cell,Naive B,-1.83904228,-12.39359787
Progenitor cells,Prog_RBC,-4.553873871,-3.671400336
T cell,CD8 Naive,3.368930723,6.036911221
T cell,CD8 Naive,3.917500403,6.961656304
NK,NK,7.888759758,-6.363644866
B cell,Plasmablast,-2.431316469,-6.747849254
Mono/DC,CD14 Mono,-8.192243908,4.356349679
T cell,CD8 Naive,2.675216105,5.89287016
Mono/DC,CD14 Mono,-8.121074054,0.805477889
Mono/DC,CD14 Mono,-8.381566379,2.520961257
T cell,CD8 Memory_1,7.024788525,-0.379482893
T cell,CD4 Memory,7.348374035,0.757346185
B cell,Plasmablast,-2.488887642,-6.64263132
B cell,Memory B,-0.254180048,-10.55324295
Mono/DC,CD14 Mono,-9.797269199,4.761248322
Mono/DC,CD14 Mono,-8.824824665,1.948051663
Mono/DC,CD14 Mono,-6.611640785,1.578256698
T cell,Treg,6.236533787,3.564265462
T cell,CD4 Naive,4.931902077,3.070554467
Mono/DC,cDC2,-10.98511157,3.194711896
T cell,CD4 Memory,6.00632396,2.080966922
Progenitor cells,GMP,-7.549135063,0.242244201
T cell,CD4 Memory,3.778359797,1.102453085
Progenitor cells,Prog_RBC,-4.590443466,-3.74226716
T cell,MAIT,7.195982601,-1.91962829
T cell,CD8 Naive,2.560553457,5.612338754
Progenitor cells,LMPP,-6.907132004,-5.375387935
T cell,CD4 Memory,4.052467015,0.816718312
T cell,CD4 Memory,7.410061028,-0.316969542
T cell,CD4 Naive,6.855129864,3.373090955
Mono/DC,CD14 Mono,-7.08151326,4.686745377
Mono/DC,CD14 Mono,-7.433563087,1.496678444
T cell,CD8 Naive,2.768606808,5.430339547
Mono/DC,CD14 Mono,-9.812330578,3.393804999
T cell,CD8 Memory_2,5.771774437,-3.789655475
Mono/DC,CD14 Mono,-8.996590946,2.261728974
T cell,CD4 Naive,4.677011635,3.975758763
Mono/DC,CD14 Mono,-9.122698162,2.256671401
T cell,gdT,7.170666363,-2.580901412
Progenitor cells,GMP,-8.405120228,-0.845690874
B cell,Naive B,1.304824617,-11.31989696
T cell,MAIT,7.069465306,-1.962267188
B cell,Memory B,1.122810986,-10.97021416
T cell,Treg,4.646990921,4.501762124
T cell,CD8 Memory_2,5.664343502,-4.143813399
T cell,CD8 Naive,3.783940222,6.994045468
Mono/DC,CD14 Mono,-7.1523684,3.792734595
T cell,CD8 Naive,2.853278067,5.053019257
Mono/DC,CD14 Mono,-8.926137302,3.890655251
B cell,Naive B,-1.73973665,-12.84212521
T cell,CD4 Memory,7.461400654,0.191125052
Mono/DC,CD14 Mono,-9.361953113,4.891264172
T cell,CD4 Memory,7.348278668,2.175263377
NK,NK,7.693226006,-5.014710693
T cell,CD8 Naive,1.485572006,2.299772473
Mono/DC,CD14 Mono,-10.04240927,4.542350026
Progenitor cells,LMPP,-7.329452369,-5.735687045
Mono/DC,CD14 Mono,-9.15113673,3.400134297
T cell,CD8 Naive,3.132764961,6.688064786
T cell,CD8 Naive,2.696245339,1.937120171
T cell,CD8 Naive,3.597338822,7.319669934
Mono/DC,CD14 Mono,-8.661971424,1.743315073
Mono/DC,CD14 Mono,-7.09387717,2.545578929
Mono/DC,CD14 Mono,-9.111223552,1.232527824
T cell,CD8 Effector_1,6.038524296,-3.775465993
Mono/DC,CD14 Mono,-9.903412197,2.824274751
Mono/DC,CD14 Mono,-6.65500674,1.352001162
Mono/DC,CD14 Mono,-8.93364558,4.885132047
NK,NK,7.836694863,-6.586133269
Mono/DC,CD14 Mono,-10.09189353,3.361446591
Mono/DC,CD14 Mono,-6.804381702,3.802078219
Mono/DC,CD14 Mono,-6.501031254,3.506097289
T cell,CD8 Naive,3.622094061,3.394263717
Progenitor cells,Prog_RBC,-2.766042326,-3.711876182
T cell,CD8 Naive,3.656201508,5.794067117
Mono/DC,cDC2,-12.22766909,3.438469144
T cell,CD4 Memory,6.760748055,3.492006036
Progenitor cells,Prog_RBC,-3.057751749,-1.528757123
Mono/DC,CD14 Mono,-9.626507137,4.534377785
Mono/DC,CD14 Mono,-9.082778309,3.150348635
NK,NK,7.961334851,-5.96928194
Mono/DC,CD14 Mono,-7.046128128,4.246588918
T cell,CD4 Naive,5.352475311,4.80316517
NK,NK,7.85758033,-6.343448428
Progenitor cells,Prog_Mk,-6.28714833,-4.687284736
T cell,CD8 Naive,3.924781944,6.199598523
T cell,CD4 Naive,4.051993754,3.964647742
B cell,Memory B,1.874031331,-11.30034855
Mono/DC,CD14 Mono,-8.415542934,3.675410004
T cell,CD4 Naive,4.725796845,4.250201913
Mono/DC,CD14 Mono,-8.871917103,1.017884584
Mono/DC,CD14 Mono,-8.4696115,4.136440965
Mono/DC,CD14 Mono,-9.94097266,5.940344067
T cell,CD4 Memory,6.492564823,0.167009378
Progenitor cells,Prog_DC,-11.52645049,1.906960936
T cell,CD8 Memory_1,6.38262191,-0.36139339
Progenitor cells,HSC,-6.243149612,-5.856769351
T cell,CD8 Naive,4.116742756,3.962598296
Mono/DC,CD14 Mono,-8.844197605,4.101851197
Mono/DC,CD14 Mono,-9.628899906,5.46299717
T cell,CD4 Naive,5.513504173,5.857119771
T cell,CD4 Memory,7.188745167,0.616003605
T cell,CD4 Naive,4.08405533,3.82343504
T cell,CD4 Naive,6.817670967,4.521520348
Mono/DC,CD16 Mono,-8.580993984,8.397122117
T cell,Treg,6.872615483,1.275760504
T cell,CD8 Naive,2.418093588,3.381715985
