celltype.l1,celltype.l2,UMAP1,UMAP2
Mono/DC,CD14 Mono,-10.02215479,3.545086466
Mono/DC,CD14 Mono,0.575550455,17.07264503
T cell,CD4 Naive,7.19245531,-1.409654058
Progenitor cells,Prog_B 1,-2.436542493,-5.262143768
B cell,Memory B,3.251936811,-8.246893085
T cell,CD4 Memory,22.0936804,-2.900441326
Progenitor cells,Prog_RBC,-16.83844088,-13.22506539
T cell,CD8 Naive,6.000483531,-21.96984307
T cell,CD4 Memory,5.087816733,11.34759887
T cell,CD4 Naive,14.45603945,5.992226444
T cell,CD4 Memory,10.82601644,-3.602707065
B cell,Naive B,1.688883531,-9.232872165
Mono/DC,CD14 Mono,-5.691988927,16.49237903
T cell,gdT,5.010026473,5.862492405
T cell,CD4 Memory,8.626935023,21.24463638
T cell,CD4 Memory,13.28371431,0.845175673
B cell,Naive B,-5.297917348,-11.95165459
Mono/DC,CD14 Mono,-7.524669629,4.019611918
Mono/DC,CD14 Mono,-4.000611287,13.57010254
T cell,CD8 Naive,-0.610137445,-4.326560653
T cell,CD8 Naive,6.053709525,-21.98548905
Mono/DC,CD14 Mono,-3.440600377,9.891513668
Progenitor cells,GMP,12.1799555,20.84667381
Progenitor cells,HSC,-5.132544023,1.59915223
B cell,Naive B,-4.886138898,-17.0004007
Mono/DC,CD14 Mono,-1.756217939,-1.588407673
Progenitor cells,Prog_RBC,-22.74631212,-6.769288219
T cell,CD8 Naive,9.427897948,4.137201153
T cell,MAIT,12.98688318,8.254085385
B cell,Memory B,2.653304714,-8.085965313
T cell,CD4 Naive,0.173699993,-25.60857788
B cell,Memory B,3.298981923,-9.224617161
Progenitor cells,GMP,-11.55517576,-5.321378387
Progenitor cells,Prog_B 1,-1.509325963,-6.575901188
T cell,CD8 Naive,9.15159418,9.000555836
T cell,CD4 Memory,14.16349317,-5.917670406
T cell,CD8 Effector_1,-3.353277188,4.660117232
B cell,Memory B,-22.86417101,-6.710337318
B cell,Memory B,-11.0032997,-11.76009385
Progenitor cells,Prog_RBC,-16.83988093,-13.26886765
T cell,CD4 Naive,-16.89880083,-13.16747109
Mono/DC,CD14 Mono,-22.86995028,-6.634830631
T cell,CD4 Naive,5.433805007,11.37340912
NK,NK,1.831983793,14.9606417
T cell,CD8 Effector_2,5.22194888,0.219092153
T cell,CD4 Memory,5.432734984,1.54286971
Mono/DC,pDC,-2.706305486,-2.810438312
T cell,CD8 Effector_1,1.533772814,12.35739502
T cell,CD8 Naive,19.68269064,-5.165297664
T cell,CD8 Naive,10.67662813,-8.987655796
B cell,Memory B,4.033348817,-8.560527958
T cell,CD8 Naive,14.11092283,12.95863041
B cell,Naive B,-2.275231343,-9.847169079
B cell,Naive B,-6.121184331,-2.803270735
NK,NK,6.485583323,16.46818718
NK,NK,-1.432502013,-3.790590442
Progenitor cells,Prog_B 1,-0.721078378,-8.140177883
Mono/DC,CD14 Mono,-19.70504282,3.875032507
B cell,Memory B,2.361425299,-8.232554592
T cell,gdT,1.436954457,6.824107968
T cell,CD4 Naive,6.084574241,-22.13239876
Mono/DC,CD14 Mono,-7.614780408,10.7111853
B cell,Memory B,-6.209438306,-7.592571415
Mono/DC,CD14 Mono,-13.05506704,-4.060939468
T cell,CD4 Naive,-0.648587209,-3.947735943
Progenitor cells,GMP,0.497785825,11.47271808
B cell,Naive B,-5.612205964,-3.437829174
Mono/DC,CD14 Mono,-22.66489313,-6.781793751
Mono/DC,CD14 Mono,-9.462452871,1.328595661
Mono/DC,CD14 Mono,-16.39553545,1.497145139
T cell,CD4 Naive,6.671271342,-9.853948749
T cell,CD8 Naive,8.620255011,-3.947562851
T cell,CD4 Naive,-14.93784044,-8.975469745
Mono/DC,CD14 Mono,-22.78293131,-6.736116565
T cell,CD8 Naive,18.23047735,-16.26111046
Progenitor cells,LMPP,-1.609493476,-4.91302792
T cell,CD4 Naive,6.636948603,8.0325168
T cell,CD8 Naive,23.49821188,-2.73033873
T cell,CD8 Naive,1.640625107,-0.551829256
Progenitor cells,Prog_RBC,0.538509864,11.41420826
Mono/DC,pDC,-22.86745737,-6.70935408
T cell,CD8 Naive,11.65431883,-0.631222404
T cell,MAIT,5.836389083,-0.147530593
T cell,CD4 Memory,9.910570163,-3.615994133
NK,NK,-1.729197007,5.535710179
T cell,CD4 Memory,6.217340964,10.88883575
T cell,MAIT,6.671505469,6.767481648
Progenitor cells,Prog_RBC,-1.591628057,9.017976605
Mono/DC,CD14 Mono,0.372528929,8.207060658
T cell,CD8 Memory_2,10.95667364,-0.270309366
T cell,CD4 Memory,6.318417567,-9.130260624
T cell,CD4 Memory,8.003309268,0.590637379
T cell,CD8 Naive,2.681162495,1.94132825
Mono/DC,CD14 Mono,-0.901905519,13.38682064
NK,NK,4.951420325,11.15155967
T cell,MAIT,3.771722335,6.539954983
T cell,CD4 Memory,5.366066951,-5.480648197
B cell,Naive B,0.867939371,-7.352052845
T cell,CD8 Naive,16.2221575,2.227022134
B cell,Naive B,-12.0426483,-14.30861679
Progenitor cells,GMP,-23.06879709,-6.500453628
Progenitor cells,Prog_RBC,-16.86805246,-13.16626374
T cell,CD4 Naive,15.64214708,-10.02060143
Mono/DC,CD14 Mono,-9.149483663,8.955031239
NK,NK,6.810775298,17.00500854
T cell,CD4 Naive,6.869201201,-13.38187329
Progenitor cells,Prog_RBC,5.141896027,-1.256550468
Progenitor cells,GMP,-22.76441286,-6.649668373
T cell,CD4 Memory,17.68585398,-8.51127354
Mono/DC,CD14 Mono,-4.055570108,4.030120217
T cell,CD4 Naive,8.585862178,-10.38176075
T cell,MAIT,6.986359137,5.144684635
NK,NK,1.921817682,7.569762551
T cell,CD4 Naive,-16.86362742,-13.17116658
Mono/DC,CD14 Mono,-2.323974591,-1.714704193
B cell,Naive B,1.899882618,-6.772438205
T cell,CD8 Naive,5.198038596,-5.705276645
T cell,CD4 Naive,5.672393102,-7.152052559
T cell,CD8 Naive,-16.87872789,-13.19076268
T cell,CD4 Naive,8.688895244,2.130065881
T cell,CD8 Memory_2,-0.472060662,5.004579865
T cell,CD8 Naive,9.020670432,2.600435578
B cell,Memory B,0.037291306,-2.47246591
B cell,Naive B,-11.05772207,-11.80592457
Progenitor cells,GMP,8.662887114,21.29011139
Mono/DC,CD14 Mono,-10.54815004,5.027426564
B cell,Memory B,0.652265686,-7.396310009
Mono/DC,CD14 Mono,-4.876411897,3.407669865
T cell,CD4 Naive,24.01314642,4.157655083
T cell,CD8 Naive,7.843618411,3.082302653
T cell,CD4 Naive,-16.88187502,-13.26033417
B cell,Memory B,0.785455245,-7.249478496
Mono/DC,CD14 Mono,-10.69350718,7.856490933
T cell,CD8 Effector_2,2.631069678,-4.512797035
Mono/DC,CD14 Mono,-1.855136615,19.18081459
Progenitor cells,Prog_Mk,-2.858403188,-5.698711551
B cell,Memory B,1.008445519,-7.224953808
Progenitor cells,GMP,-8.535188657,22.21475967
B cell,Memory B,-10.07834623,-4.074324287
B cell,Plasmablast,-1.605892879,-6.937238373
T cell,CD8 Naive,2.44365238,-0.082815624
Progenitor cells,GMP,-12.1528549,0.723189496
T cell,CD8 Memory_2,7.773921508,-1.250425733
T cell,CD8 Memory_1,-16.87538813,-13.20278946
Progenitor cells,Prog_RBC,-16.85775469,-13.20585839
Mono/DC,CD14 Mono,-17.2553644,5.590408169
Mono/DC,CD14 Mono,-1.556687814,9.933328472
T cell,CD8 Naive,3.295844215,3.883799397
B cell,Memory B,-9.560864431,-10.86857525
NK,NK,-1.544599277,1.397785805
Progenitor cells,LMPP,-1.951471311,-4.852109588
B cell,Naive B,1.655492264,-6.592937149
Mono/DC,CD14 Mono,-22.96931742,-6.63057629
T cell,CD4 Naive,5.186633128,-2.447721876
Mono/DC,CD14 Mono,-22.73292444,-6.738960899
T cell,CD8 Naive,9.024911422,4.4964455
T cell,MAIT,4.508179921,-4.141908325
Mono/DC,CD14 Mono,-10.77110193,0.382140898
T cell,CD4 Memory,9.042831916,3.296697937
Progenitor cells,Prog_RBC,-0.78361271,-10.9004213
T cell,CD8 Naive,9.137761134,-1.39838282
Mono/DC,CD14 Mono,-15.94606112,6.332113587
T cell,CD8 Naive,-16.78641031,-13.36939541
B cell,Naive B,-8.026333791,-3.921702064
T cell,CD8 Memory_1,13.97448065,12.71331676
T cell,CD8 Memory_2,-8.415916425,21.91868194
T cell,CD4 Memory,1.542862374,1.30396121
Mono/DC,CD14 Mono,-3.962819081,4.073539101
T cell,CD8 Naive,26.60716726,4.305979811
Mono/DC,CD14 Mono,-22.87734125,-6.560264744
T cell,CD4 Naive,-14.1871023,-11.29834
B cell,Memory B,3.404165524,-9.447347797
T cell,CD8 Naive,12.19822122,20.8624781
T cell,CD4 Memory,5.81979658,-1.287654556
Mono/DC,cDC2,-0.625474197,2.136669241
T cell,CD8 Naive,0.158815521,-25.5045549
Mono/DC,CD14 Mono,-16.86919306,-13.1896669
Progenitor cells,HSC,-22.67988489,-6.887666382
Mono/DC,CD14 Mono,-19.41153429,7.471347653
Mono/DC,CD14 Mono,-0.871211034,5.439719998
T cell,CD4 Naive,-6.989276868,-8.790738262
Progenitor cells,Prog_DC,-6.380040151,-5.404059566
T cell,CD4 Naive,-8.488799077,22.07051643
B cell,Memory B,-0.093919974,-10.09886376
Mono/DC,CD14 Mono,-9.78150652,3.309542023
T cell,CD8 Naive,-6.985589963,-8.789673008
T cell,CD4 Naive,7.086873072,0.529221885
B cell,Memory B,3.050495643,-8.467670597
Mono/DC,CD14 Mono,-1.418502551,9.098040425
Mono/DC,CD14 Mono,-6.726918203,4.38202437
T cell,CD8 Naive,18.14795782,-16.4592611
Progenitor cells,Prog_B 2,-2.205331784,-7.216791309
T cell,CD4 Naive,12.47503759,-7.251259006
T cell,CD8 Naive,5.82816388,8.353851162
B cell,Naive B,4.513757008,-8.469021953
Progenitor cells,Prog_RBC,-1.578096133,1.463423036
T cell,CD8 Naive,1.111866671,5.489302956
T cell,CD8 Naive,14.8902817,-2.482808031
NK,NK,0.416842598,-1.724939026
B cell,Plasmablast,2.785648304,-7.226391948
Mono/DC,CD14 Mono,-20.21817492,12.12881263
T cell,CD8 Naive,8.832570094,9.104427181
Mono/DC,CD14 Mono,-10.56619928,2.085131251
Mono/DC,CD14 Mono,-20.1715555,12.17095646
T cell,CD8 Memory_1,9.222421187,6.582768284
T cell,CD4 Memory,16.58180906,14.88855919
B cell,Plasmablast,4.438462991,-7.450213588
B cell,Memory B,-15.35800074,-0.797855414
Mono/DC,CD14 Mono,-13.15050123,5.857586705
Mono/DC,CD14 Mono,-5.004601461,4.584127747
Mono/DC,CD14 Mono,-16.88107393,-13.26508061
T cell,Treg,6.049284476,4.399789654
T cell,CD4 Naive,8.528184432,0.225450121
Mono/DC,cDC2,-4.417926294,12.81649574
T cell,CD4 Memory,7.288198012,-0.933666028
Progenitor cells,GMP,-20.19551943,12.16850456
T cell,CD4 Memory,-23.017642,-6.72910849
Progenitor cells,Prog_RBC,-5.214842302,1.670251333
T cell,MAIT,9.291438121,11.39679035
T cell,CD8 Naive,2.36520012,0.952728294
Progenitor cells,LMPP,-2.345144254,-9.955001987
T cell,CD4 Memory,0.040621299,5.520277821
T cell,CD4 Memory,9.931149024,5.910189949
T cell,CD4 Naive,15.82637407,-5.993862308
Mono/DC,CD14 Mono,-6.279465657,10.84791359
Mono/DC,CD14 Mono,-19.02006434,0.342147224
T cell,CD8 Naive,16.17456915,-0.591852702
Mono/DC,CD14 Mono,-16.60086535,11.55405792
T cell,CD8 Memory_2,3.564267296,1.819628321
Mono/DC,CD14 Mono,-7.729352933,5.519226395
T cell,CD4 Naive,11.93754961,10.118059
Mono/DC,CD14 Mono,-2.925824624,10.06291278
T cell,gdT,4.249410647,0.380969696
Progenitor cells,GMP,-5.781863671,9.044442974
B cell,Naive B,-1.991869432,0.587907352
T cell,MAIT,5.375741261,4.8003219
B cell,Memory B,-22.80510996,-6.667896427
T cell,Treg,-6.993510228,-8.786703266
T cell,CD8 Memory_2,8.336994666,7.244161927
T cell,CD8 Naive,14.06679441,7.18673309
Mono/DC,CD14 Mono,-3.357777578,13.58123287
T cell,CD8 Naive,11.39041426,-7.651682056
Mono/DC,CD14 Mono,-1.713269454,1.614791237
B cell,Naive B,1.955931596,-6.9129645
T cell,CD4 Memory,4.829941768,-4.573287643
Mono/DC,CD14 Mono,-20.17034243,12.04919132
T cell,CD4 Memory,5.286301869,-6.420180477
NK,NK,3.902584452,-4.461429752
T cell,CD8 Naive,-5.10800932,-6.307509102
Mono/DC,CD14 Mono,-7.698342305,10.62660583
Progenitor cells,LMPP,-2.429046613,-3.755201496
Mono/DC,CD14 Mono,-5.99495886,-1.831463493
T cell,CD8 Naive,10.53990175,-12.64770714
T cell,CD8 Naive,10.71497061,3.224620425
T cell,CD8 Naive,3.240200895,3.946183287
Mono/DC,CD14 Mono,-3.132388097,-1.528032459
Mono/DC,CD14 Mono,-16.59489534,11.55807003
Mono/DC,CD14 Mono,1.474400091,12.91643413
T cell,CD8 Effector_1,-1.756929141,5.555752598
Mono/DC,CD14 Mono,-3.427424413,13.53543838
Mono/DC,CD14 Mono,0.085504907,15.53800567
Mono/DC,CD14 Mono,-16.58379267,11.54832729
NK,NK,3.99093892,6.441414677
Mono/DC,CD14 Mono,-0.580986482,9.031227909
Mono/DC,CD14 Mono,-12.13111303,1.75455793
Mono/DC,CD14 Mono,-15.45803354,-0.574772872
T cell,CD8 Naive,14.69613268,4.917804085
Progenitor cells,Prog_RBC,1.678558993,12.82506736
T cell,CD8 Naive,-1.741584521,5.545667015
Mono/DC,cDC2,-22.79409884,-6.668490566
T cell,CD4 Memory,7.675617713,-0.990549363
Progenitor cells,Prog_RBC,-16.88296602,-13.36872689
Mono/DC,CD14 Mono,-17.09224222,5.673961006
Mono/DC,CD14 Mono,-5.723693353,10.7402676
NK,NK,2.699826795,9.687904202
Mono/DC,CD14 Mono,-5.283175927,9.556917034
T cell,CD4 Naive,17.94892504,-8.48887936
NK,NK,-2.515972596,2.508612
Progenitor cells,Prog_Mk,-1.921030265,-5.117865242
T cell,CD8 Naive,9.420168418,-6.961657203
T cell,CD4 Naive,18.04969885,-16.26913658
B cell,Memory B,-8.605514508,-2.057120718
Mono/DC,CD14 Mono,-2.438228112,6.010331951
T cell,CD4 Naive,9.522089023,-9.860859073
Mono/DC,CD14 Mono,-20.18878267,12.17382797
Mono/DC,CD14 Mono,-0.273423654,9.342169606
Mono/DC,CD14 Mono,-5.118329507,10.65495571
T cell,CD4 Memory,2.102050606,2.6422356
Progenitor cells,Prog_DC,-5.497497064,8.063396775
T cell,CD8 Memory_1,11.76009561,9.59302219
Progenitor cells,HSC,-11.01845263,-2.682174124
T cell,CD8 Naive,15.77132418,10.96429905
Mono/DC,CD14 Mono,-8.955780965,4.207805477
Mono/DC,CD14 Mono,-3.708867532,6.313530766
T cell,CD4 Naive,13.23329069,18.33053001
T cell,CD4 Memory,1.558661598,-2.174463667
T cell,CD4 Naive,3.280225057,-12.7530624
